Clinton Essex Franklin Library System (Total item count = 438),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State: New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Library Type: Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link: https://cefls.org/library-of-things/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baking Pans = 35,,Book Club in a Bag = 78,,Coding Kit = 5,,Empowering Girls Kits = 10,,Experience Kit = 9,,Fishing Pole Kits = 3,,Flannel Board Kits = 13,,Jump Start Early Literacy Kit = 31,,Let's Make Music Kit = 9,,Let's Play Games Kit = 7,,Makers Kit = 41,,Mother Goose Big Idea Kits = 93,,Photography Kit = 2,,Prep for Success Kit = 2,,Sensory Kit = 14,,Sewing Machines = 16,,VR Headsets = 9,,Weighted Blanket = 4,,WiFi Hotspot = 2,,Wonderbook = 55,
Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity,Items,Quantity
Cofton party cake pan,1,The sympathizer,1,,,,,,,,,,,creative futures,1,,,,,squishy circuits ,1,exploring shapes,7,,,,,,,,,,,,,,,little frida,1
Wilton train cake pan,1,Road Trip,1,,,,,,,,,,,storytime buddy ,1,,,,,easy weaver kit,1,TOTAL ITEMS,93,,,,,,,,,,,,,,,the invisible string,1
Wilton Spongebob SquarePants pan ,1,Fahrenheit 451,1,,,,,,,,,,,baby and me kit,1,,,,,TOTAL ITEMS,41,,,,,,,,,,,,,,,,,I need a hug,1
Wilton 4 bears pan,1,The rent collector,1,,,,,,,,,,,kids in the kitchen,1,,,,,,,,,,,,,,,,,,,,,,,rosie revere and the raucous riveters,1
Wilton clown cake pan,1,Big little lies,1,,,,,,,,,,,fun with food ,1,,,,,,,,,,,,,,,,,,,,,,,ada twist and the perilous pants,2
Wilton stand-up house pan ,1,Cinnamon and gunpowder,1,,,,,,,,,,,build and create,1,,,,,,,,,,,,,,,,,,,,,,,imagination according to humphrey,1
Nordic Ware pumpkin muffin pan,1,Ender's game,1,,,,,,,,,,,gardening for the birds,1,,,,,,,,,,,,,,,,,,,,,,,planets,1
Nordic Ware pumpkin loaf pan,1,Into the wild ,1,,,,,,,,,,,caring for animals ,1,,,,,,,,,,,,,,,,,,,,,,,mixed me!,1
Wilton baseball cake pan mold,1,Not exactly love,1,,,,,,,,,,,fabulous 5 senses,1,,,,,,,,,,,,,,,,,,,,,,,heart and soul,1
Wilton mini Easter egg pan,1,Angle of repose,1,,,,,,,,,,,get up and go kit,1,,,,,,,,,,,,,,,,,,,,,,,they didn't teach this in worm school,1
Wilton Spiderman cake pan,1,Remarkably bright creatures,1,,,,,,,,,,,what can you be,1,,,,,,,,,,,,,,,,,,,,,,,monster and boy,1
Wilton old world Santa cake pan,1,The last cuentista,1,,,,,,,,,,,experiment in your world,1,,,,,,,,,,,,,,,,,,,,,,,choo choo school,1
Wilton over the hill tombstone pan,1,The Four Winds,1,,,,,,,,,,,transition to kindergarden library & math kit,1,,,,,,,,,,,,,,,,,,,,,,,digger the dinosaur,1
Wilton Elmo face cake pan mold,1,The Christmas bookshop,1,,,,,,,,,,,understanding feelings and developing emotional intelligence learning kit,1,,,,,,,,,,,,,,,,,,,,,,,captain underpants and the perilous plot,1
Nordic Ware bundt teacake & candies pan ,1,My absolute darling,1,,,,,,,,,,,TOTAL ITEMS,31,,,,,,,,,,,,,,,,,,,,,,,captain underpants and the attack of the talking toilets,1
Nordic Ware platinum collection anniversary bundtlette pan,1,The missing star,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freedom soup,1
Nordic Ware snowman 3D cake pan,1,Lessons in chemistry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,two dogs in a trench coat,1
Nordic Ware Santa Clause in chimney 3D pan,1,All-star Superman,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the dragon in the library,1
Wilton round cake pan with Santa Clause cake insert and happy birthday insert,1,The Japanese lover,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good dogs on a bad day,1
TOTAL ITEMS,35,Eleanor and Park,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,my life as a book,1
,,Olive Kitteridge (with DVD),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the pinata that the farm maiden hung,1
,,A million little pieces,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im new here,1
,,Freaky Friday (with DVD),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a sporting chance,1
,,Parable of the sower,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the wheels on the bus,1
,,Carrie Soto is back,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the proudest blue,1
,,White teeth : a novel,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kid activists,1
,,Where the crawdads sing,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pax,1
,,Five feet apart (with DVD),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yum! ,1
,,Kitchens of the great Midwest,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the magic misfits,1
,,I’ll meet you there,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mango, abuela, and me",1
,,In the country of men,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dog diaries,2
,,Black and blue : a novel,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peter powers,1
,,The god of the woods,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the chupacabras,1
,,A Community of butterflies : chrysalis,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,can i touch your hair,1
,,It ends with us (with DVD),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the basque dragon,1
,,Punch me up to the gods,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malala,1
,,The heart is a lonely hunter,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the fierce 44,1
,,The seven husbands of Evelyn Hugo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOTAL ITEMS,55
,,This is how it always is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The book woman of Troublesome Creek,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All the light we cannot see,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Etta and Otto and Russell and James,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,On writing : a memoir of the craft,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dreams of trespass : tales of a harem girlhood,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Evicted: poverty and profit in the American city,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bird by bird : some instructions on writing and life,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The unredeemed captive: a family story from early America,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Just mercy: a story of justice and redemption (with DVD),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The Lightning Thief : Percy Jackson and the Olympians / Book 1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Drawdown : the most comprehensive plan ever proposed to reverse global warming,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"New York burning : liberty, slavery, and conspiracy in eighteenth-century Manhattan",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The best poems of the English language : from Chaucer through Frost,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The 7 habits of highly effective people: powerful lessons in personal change,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"House of stone : a memoir of home, family, and a lost Middle East",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,It's all relative : adventures up and down the world's family tree,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The Battle for New York : the city at the heart of the American Revolution,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The house of wisdom : how Arabic science saved ancient knowledge and gave us the Renaissance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Ornament of the world: how Muslims, Jews, and Christians created a culture of tolerance in medieval Spain",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The girls of Atomic City : the untold story of the women who helped win World War II,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The boys in the boat: nine Americans and their epic quest for gold at the 1936 Berlin Olympics,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hidden Figures: the American dream and the untold story of the Black women mathematicians who helped win the space race,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hidden Figures Young Readers' Edition: the untold true story of four African-American women who helped launch our nation into space (with DVD),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL ITEMS,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
